title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Dead Sea,The Lumineers,spotify:track:2Oc3g4OTFhXYMGmqUcRnwe,0.714,0.325,0,-11.127,1,0.028,0.799,3.33e-06,0.196,0.482,94.035,audio_features,2Oc3g4OTFhXYMGmqUcRnwe,https://api.spotify.com/v1/tracks/2Oc3g4OTFhXYMGmqUcRnwe,https://api.spotify.com/v1/audio-analysis/2Oc3g4OTFhXYMGmqUcRnwe,247920,4
Dear Miss Lonelyhearts,Cold War Kids,spotify:track:28E5nsqEoq5oolWIRBXn5o,0.264,0.512,4,-8.265,1,0.0435,0.458,0.112,0.107,0.237,154.189,audio_features,28E5nsqEoq5oolWIRBXn5o,https://api.spotify.com/v1/tracks/28E5nsqEoq5oolWIRBXn5o,https://api.spotify.com/v1/audio-analysis/28E5nsqEoq5oolWIRBXn5o,274867,4
Dear Prudence - feat. Jeff Hall,Mike Massé,spotify:track:13lvkRGVRvAU43CIj330wt,0.474,0.387,7,-8.437,1,0.0285,0.569,0.00013,0.4,0.0737,75.528,audio_features,13lvkRGVRvAU43CIj330wt,https://api.spotify.com/v1/tracks/13lvkRGVRvAU43CIj330wt,https://api.spotify.com/v1/audio-analysis/13lvkRGVRvAU43CIj330wt,251000,4
Dear Prudence - Remastered 2009,The Beatles,spotify:track:5NQYyej46WQkgCbnzGD21W,0.388,0.529,7,-10.533,1,0.0436,0.16,0.0681,0.108,0.332,150.721,audio_features,5NQYyej46WQkgCbnzGD21W,https://api.spotify.com/v1/tracks/5NQYyej46WQkgCbnzGD21W,https://api.spotify.com/v1/audio-analysis/5NQYyej46WQkgCbnzGD21W,235773,4
Death,C418,spotify:track:4B6A1T91lF1IRKkBVwUzWe,0.539,0.198,11,-31.238,0,0.835,0.837,0.00549,0.359,0.21,58.309,audio_features,4B6A1T91lF1IRKkBVwUzWe,https://api.spotify.com/v1/tracks/4B6A1T91lF1IRKkBVwUzWe,https://api.spotify.com/v1/audio-analysis/4B6A1T91lF1IRKkBVwUzWe,41500,4
Death By Diamonds And Pearls,Band Of Skulls,spotify:track:0FARxqfTf2VoDksn2pFLKN,0.486,0.684,7,-4.522,1,0.0815,0.00663,3.07e-05,0.0961,0.405,134.866,audio_features,0FARxqfTf2VoDksn2pFLKN,https://api.spotify.com/v1/tracks/0FARxqfTf2VoDksn2pFLKN,https://api.spotify.com/v1/audio-analysis/0FARxqfTf2VoDksn2pFLKN,192933,4
Death Myth,Fly Golden Eagle,spotify:track:6iNaIygFZOXNaWrh9lvEg6,0.486,0.7,1,-9.981,0,0.0313,0.00129,0.889,0.316,0.778,102.994,audio_features,6iNaIygFZOXNaWrh9lvEg6,https://api.spotify.com/v1/tracks/6iNaIygFZOXNaWrh9lvEg6,https://api.spotify.com/v1/audio-analysis/6iNaIygFZOXNaWrh9lvEg6,201493,4
Debaser,Pixies,spotify:track:2GJD1rH8juDbF3yq0ANEU1,0.456,0.975,5,-4.604,1,0.0728,0.000954,0.476,0.0984,0.485,135.504,audio_features,2GJD1rH8juDbF3yq0ANEU1,https://api.spotify.com/v1/tracks/2GJD1rH8juDbF3yq0ANEU1,https://api.spotify.com/v1/audio-analysis/2GJD1rH8juDbF3yq0ANEU1,171960,4
Debout,Ariane Moffatt,spotify:track:1LXc0I4jtOEXhvqvN7EOou,0.609,0.593,10,-7.649,0,0.04,0.000204,0.0053,0.366,0.745,118.006,audio_features,1LXc0I4jtOEXhvqvN7EOou,https://api.spotify.com/v1/tracks/1LXc0I4jtOEXhvqvN7EOou,https://api.spotify.com/v1/audio-analysis/1LXc0I4jtOEXhvqvN7EOou,194360,4
Décadence,Jean Leloup,spotify:track:7Lf98r82D0xH56jJKviQQR,0.644,0.481,2,-8.734,1,0.0328,0.454,0.0,0.283,0.591,99.368,audio_features,7Lf98r82D0xH56jJKviQQR,https://api.spotify.com/v1/tracks/7Lf98r82D0xH56jJKviQQR,https://api.spotify.com/v1/audio-analysis/7Lf98r82D0xH56jJKviQQR,128067,4
